panel	context	model	fraction	compound	source_pair	reference_loss	predicted_loss	reference_rank	predicted_rank	reference_top	predicted_top	recovered	n_compounds	k	overlap	recall	recall_lower95	recall_upper95	random_expected_overlap	random_expected_recall	enrichment_over_random	random_overlap_lower95	random_overlap_upper95	random_selection_tail_probability	signed_spearman	signed_pearson	selected_reference_loss_mean	selected_reference_loss_min	selected_reference_loss_max	true_top_loss_mean	n_bootstrap	interpretation	measured_repeat_recall	measured_repeat_overlap	recall_difference_from_repeat	difference_lower95	difference_upper95
Figure6d	A_all_heldout	BF_Ridge100	0.05	Lansoprazole	assayworks_prod_26|assayworks_prod_30	0.08972480895834559	0.05099404676222883	41.0	49.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Lercanidipine	assayworks_prod_25|assayworks_prod_26	-0.0312711069009442	0.05944831994101864	157.0	45.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Levomepromazine	assayworks_prod_25|assayworks_prod_27	0.05079937315937402	0.07472193491416021	61.0	36.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Linalool	assayworks_prod_26|assayworks_prod_30	-0.05788389523176178	-0.05130804236678988	198.0	215.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Lomustine	assayworks_prod_26|assayworks_prod_30	-0.003369215902858873	-0.003960747158965296	113.0	135.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Lonafarnib	assayworks_prod_26|assayworks_prod_30	0.19875402675698634	0.10029651697725181	14.0	29.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Loratadine	assayworks_prod_25|assayworks_prod_27	0.09402510113474252	0.022224643237900223	38.0	76.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Lusutrombopag	assayworks_prod_25|assayworks_prod_26	0.07656417187789215	0.08616648005517547	46.0	34.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Menaquinone-4	assayworks_prod_26|assayworks_prod_30	0.13020504125650378	0.001289311448765893	29.0	121.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Mequitazine	assayworks_prod_25|assayworks_prod_26	0.13960687566103175	0.14522149056042127	24.0	17.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Metamizole (sodium)	assayworks_prod_25|assayworks_prod_27	-0.045895647689484155	0.010519154346504501	182.0	101.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Metaxalone	assayworks_prod_26|assayworks_prod_30	0.02915481475276361	-0.0015619848565958578	74.0	132.0	False	False	False																									
Figure6d	A_all_heldout	BF_Ridge100	0.05	Metformin	assayworks_prod_25|assayworks_prod_26	-0.005171480062215197	0.01385583311899236	118.0	89.0	False	False	False																									
