reporter_index,metric_index,reporter_slug,short_name,tier,metric,source_column,value,threshold,scaled_margin,passes
30,3,nuclear_speckles_srrm2,SRRM2,ranking_proxy,Top-5%,top5pct_recall,0.76,0.6,0.4000000000000001,True
30,4,nuclear_speckles_srrm2,SRRM2,ranking_proxy,Reliability,reliability,0.619391207547443,0.3,0.4562731536392044,True
31,0,proteasome_psmb7,PSMB7,ranking_proxy,Recovery,ensemble_recoverability_r,0.6036111647146251,0.7,-0.32129611761791627,False
31,1,proteasome_psmb7,PSMB7,ranking_proxy,Rank,magnitude_spearman,0.8499032139032139,0.7,0.4996773796773797,True
31,2,proteasome_psmb7,PSMB7,ranking_proxy,Amplitude,magnitude_variance_ratio,0.851693631535629,"[0.5, 1.5]",0.7033872630712581,True
31,3,proteasome_psmb7,PSMB7,ranking_proxy,Top-5%,top5pct_recall,0.78,0.6,0.4500000000000001,True
31,4,proteasome_psmb7,PSMB7,ranking_proxy,Reliability,reliability,0.4309405843280984,0.3,0.18705797761156917,True
32,0,oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,ranking_proxy,Recovery,ensemble_recoverability_r,0.6789181487433704,0.7,-0.07027283752209844,False
32,1,oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,ranking_proxy,Rank,magnitude_spearman,0.7922595482595484,0.7,0.307531827531828,True
32,2,oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,ranking_proxy,Amplitude,magnitude_variance_ratio,0.7552727102266045,"[0.5, 1.5]",0.5105454204532089,True
32,3,oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,ranking_proxy,Top-5%,top5pct_recall,0.82,0.6,0.5499999999999999,True
32,4,oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,ranking_proxy,Reliability,reliability,0.566358845982032,0.3,0.38051263711718863,True
33,0,er_ncln,NCLN,ranking_proxy,Recovery,ensemble_recoverability_r,0.6631427849101728,0.7,-0.12285738363275732,False
33,1,er_ncln,NCLN,ranking_proxy,Rank,magnitude_spearman,0.7536111576111576,0.7,0.1787038587038588,True
33,2,er_ncln,NCLN,ranking_proxy,Amplitude,magnitude_variance_ratio,0.8064229303337181,"[0.5, 1.5]",0.6128458606674363,True
33,3,er_ncln,NCLN,ranking_proxy,Top-5%,top5pct_recall,0.58,0.6,-0.050000000000000044,False
33,4,er_ncln,NCLN,ranking_proxy,Reliability,reliability,0.5109354049791082,0.3,0.3013362928272974,True
34,0,trans-golgi_vamp3,VAMP3,ranking_proxy,Recovery,ensemble_recoverability_r,0.6824360548684879,0.7,-0.05854648377170682,False
34,1,trans-golgi_vamp3,VAMP3,ranking_proxy,Rank,magnitude_spearman,0.7384963864963865,0.7,0.12832128832128845,True
34,2,trans-golgi_vamp3,VAMP3,ranking_proxy,Amplitude,magnitude_variance_ratio,0.7688269382820128,"[0.5, 1.5]",0.5376538765640255,True
34,3,trans-golgi_vamp3,VAMP3,ranking_proxy,Top-5%,top5pct_recall,0.86,0.6,0.65,True
34,4,trans-golgi_vamp3,VAMP3,ranking_proxy,Reliability,reliability,0.565576846698852,0.3,0.37939549528407435,True
35,0,p21,p21*,ranking_proxy,Recovery,ensemble_recoverability_r,0.6191052901211831,0.7,-0.2696490329293895,False
35,1,p21,p21*,ranking_proxy,Rank,magnitude_spearman,0.7383808383808383,0.7,0.12793612793612794,True
35,2,p21,p21*,ranking_proxy,Amplitude,magnitude_variance_ratio,0.2482938383826281,"[0.5, 1.5]",-0.5034123232347438,False
35,3,p21,p21*,ranking_proxy,Top-5%,top5pct_recall,0.64,0.6,0.10000000000000009,True
35,4,p21,p21*,ranking_proxy,Reliability,reliability,0.673271028808692,0.3,0.5332443268695601,True
36,0,mitochondria_tomm20,TOMM20*,ranking_proxy,Recovery,ensemble_recoverability_r,0.6939597856755839,0.7,-0.020134047748053455,False
36,1,mitochondria_tomm20,TOMM20*,ranking_proxy,Rank,magnitude_spearman,0.7201066441066442,0.7,0.06702214702214733,True
36,2,mitochondria_tomm20,TOMM20*,ranking_proxy,Amplitude,magnitude_variance_ratio,0.4002878735877984,"[0.5, 1.5]",-0.19942425282440324,False
36,3,mitochondria_tomm20,TOMM20*,ranking_proxy,Top-5%,top5pct_recall,0.52,0.6,-0.1999999999999999,False
36,4,mitochondria_tomm20,TOMM20*,ranking_proxy,Reliability,reliability,0.4495396744921411,0.3,0.21362810641734448,True
