reporter_slug,short_name,prediction_state,predictor,response_scale,recoverability_r,reliability,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
nuclear_speckles_srrm2,SRRM2,checkpoint_average,coherent_median_ensemble,fold_standardized,0.8655536303560419,0.619391207547443,0.8722045282045282,0.4796404185875294,0.78,1000,1,1,ranking_proxy,True,True,True,True,False,True,True,True,False,variance_lower,
proteasome_psmb7,PSMB7,checkpoint_average,coherent_median_ensemble,common_control,0.6036111647146252,0.4309405843280984,0.8499032139032139,0.8516936315356292,0.78,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
proteasome_psmb7,PSMB7,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6036111647146252,0.4309405843280984,0.7987445587445589,0.7985612167862604,0.8,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.6789181487433703,0.566358845982032,0.7922595482595484,0.7552727102266045,0.82,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
oxidative_stress_cellrox_live-cell_dye,CellROX live-cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6789181487433703,0.566358845982032,0.7850836250836252,0.7774842430507223,0.84,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
er_ncln,NCLN,checkpoint_average,coherent_median_ensemble,common_control,0.6631427849101729,0.5109354049791082,0.7536111576111576,0.8064229303337179,0.58,1000,1,1,ranking_proxy,True,True,False,True,True,True,False,True,False,recovery;quantitative_hit,
er_ncln,NCLN,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6631427849101729,0.5109354049791082,0.6915865995865997,0.7069438627334836,0.62,1000,1,1,unresolved,False,True,False,False,True,True,True,True,False,recovery;rank,rank
trans-golgi_vamp3,VAMP3,checkpoint_average,coherent_median_ensemble,common_control,0.6824360548684879,0.565576846698852,0.7384963864963865,0.7688269382820127,0.86,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
trans-golgi_vamp3,VAMP3,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6824360548684879,0.565576846698852,0.731031635031635,0.778195366238226,0.82,1000,1,1,ranking_proxy,True,True,False,True,True,True,True,True,False,recovery,
p21,p21*,checkpoint_average,coherent_median_ensemble,common_control,0.6191052901211831,0.673271028808692,0.7383808383808383,0.24829383838262817,0.64,1000,1,1,ranking_proxy,True,True,False,True,False,True,True,True,False,recovery;variance_lower,
p21,p21*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6191052901211831,0.673271028808692,0.7335509415509417,0.26892543285806025,0.58,1000,1,1,ranking_proxy,True,True,False,True,False,True,False,True,False,recovery;variance_lower;quantitative_hit,
mitochondria_tomm20,TOMM20*,checkpoint_average,coherent_median_ensemble,common_control,0.6939597856755839,0.4495396744921411,0.7201066441066442,0.40028787358779844,0.52,1000,1,1,ranking_proxy,True,True,False,True,False,True,False,True,False,recovery;variance_lower;quantitative_hit,
mitochondria_tomm20,TOMM20*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.6939597856755839,0.4495396744921411,0.7189775149775149,0.429278655058778,0.54,1000,1,1,ranking_proxy,True,True,False,True,False,True,False,True,False,recovery;variance_lower;quantitative_hit,
p53,p53*,checkpoint_average,coherent_median_ensemble,common_control,0.5897136792901747,0.6790572976946833,0.6648243888243889,0.13584588644291948,0.4,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
p53,p53*,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5897136792901747,0.6790572976946833,0.6717757557757559,0.10158738778131558,0.4,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,checkpoint_average,coherent_median_ensemble,common_control,0.5980371807000908,0.3152966465946273,0.5789962469962471,0.46721570785508626,0.42,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
caspase_activity_cellevent-caspase_live-cell_dye,CellEvent-Caspase live-cell dye,checkpoint_average,coherent_median_ensemble,fold_standardized,0.5980371807000908,0.3152966465946273,0.5929529809529809,0.4547648796751091,0.46,1000,1,1,measurement_required,False,True,False,False,False,True,False,False,True,recovery;rank;variance_lower;quantitative_hit,rank;ranking_hit
