reporter_slug,short_name,run_state,biological_category,reliability,historical_reference_tier,method_id,method,recoverability_r,magnitude_spearman,variance_ratio,top5pct_recall,n_genes,observed_boundary_ties,predicted_boundary_ties,tier,proxy_supported,pass_reliability,pass_recovery,pass_rank,pass_variance_lower,pass_variance_upper,pass_quantitative_hit,pass_ranking_hit,pass_measurement_recovery,failed_quantitative_gates,failed_ranking_gates
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,checkpoint_average,Nucleus,0.6299969683630331,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.8201554869612058,0.8531728331728332,0.7928864032456882,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
nuclei_nucleolive_live_cell_dye,NucleoLIVE Live Cell dye,checkpoint_average,Nucleus,0.6299969683630331,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.8184875819238344,0.8531728331728332,0.7928864032456882,0.84,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endosome_vps35,VPS35,checkpoint_average,Endosome,0.3519252152106765,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.8163044809053341,0.84987312987313,0.8053327690277692,0.7,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
endosome_vps35,VPS35,checkpoint_average,Endosome,0.3519252152106765,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.8131454605569999,0.84987312987313,0.8053327690277692,0.7,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_sec61b,SEC61B,checkpoint_average,ER/Golgi,0.4571854056007768,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.8011578214665254,0.9014797934797936,0.5989096388069226,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_sec61b,SEC61B,checkpoint_average,ER/Golgi,0.4571854056007768,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.8009984321514665,0.9014797934797936,0.5989096388069226,0.86,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_bridge_vapa,VAPA,checkpoint_average,ER/Golgi,0.6864386449976475,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7998845250656208,0.9081841521841524,0.7683852696346999,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
er_golgi_bridge_vapa,VAPA,checkpoint_average,ER/Golgi,0.6864386449976475,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7970925687783049,0.9081841521841524,0.7683852696346999,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,checkpoint_average,Mitochondria,0.7231375976605061,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.792696370681127,0.9472878352878352,0.7999771592606584,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
mitochondria_chromalive_561_excitation,ChromaLIVE 561 excitation,checkpoint_average,Mitochondria,0.7231375976605061,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7875025315365198,0.9472878352878352,0.7999771592606584,0.88,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,checkpoint_average,Peroxisome,0.491094238791797,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.7845023048420747,0.8792889512889513,0.8830879531925239,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
peroxisome_peroxi_spy650_live_cell_dye,Peroxi_SPY650 live cell dye,checkpoint_average,Peroxisome,0.491094238791797,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7838875780852149,0.8792889512889513,0.8830879531925239,0.78,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromalive_488_excitation,ChromaLIVE 488 excitation,checkpoint_average,Mitochondria,0.3255015696911665,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.765586062396566,0.8282332562332563,0.8162227429190112,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromalive_488_excitation,ChromaLIVE 488 excitation,checkpoint_average,Mitochondria,0.3255015696911665,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7649745015105618,0.8282332562332563,0.8162227429190112,0.72,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromatin_h2bc21,H2BC21,checkpoint_average,Nucleus,0.580774506626757,quantitative_proxy,hybrid_median_before_screen_mean,hybrid_median_before_screen_mean,0.757968520745635,0.8261045621045622,0.61796238750515,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
chromatin_h2bc21,H2BC21,checkpoint_average,Nucleus,0.580774506626757,quantitative_proxy,state_matched_hybrid,state_matched_hybrid,0.7543543071328854,0.8261045621045622,0.61796238750515,0.74,1000,1,1,quantitative_proxy,True,True,True,True,True,True,True,True,False,,
