gene,mean_response_percentile
GOLGA8K,0.9563461538461537
GOLT1B,0.3196730769230769
GPN1,0.5836538461538462
GPN2,0.45459615384615376
GPS1,0.5186730769230768
GPX4,0.3941730769230769
GPX8,0.5098653846153846
GRB2,0.4794615384615384
GRIA3,0.3172884615384615
GRPEL1,0.4362692307692307
GTF2A1,0.5344807692307693
GTF2A2,0.4590384615384615
GTF2B,0.6898846153846155
GTF2E2,0.40721153846153857
GTF3C1,0.38461538461538464
GTF3C4,0.4403076923076924
GTF3C6,0.39925000000000005
GTPBP4,0.7478461538461537
H2AFX,0.4272115384615385
HAMP,0.5981538461538461
HARS,0.31207692307692303
HAUS4,0.7835769230769232
HAUS5,0.6638076923076923
HAUS6,0.7381923076923077
HBS1L,0.2991730769230769
HDAC3,0.571173076923077
HDAC4,0.3745
HDAC6,0.36669230769230765
HECTD1,0.4553269230769231
HGS,0.4121923076923077
HIC2,0.38698076923076924
HIST1H2AI,0.8036153846153847
HIST1H2BK,0.5853653846153846
HIST2H3D,0.768576923076923
HMGB1,0.8159230769230769
HMGB3,0.6949423076923077
HMGCR,0.547576923076923
HNRNPH1,0.6089615384615384
HNRNPH2,0.29265384615384615
HNRNPK,0.5659038461538461
HOXB2,0.4025576923076924
HSD17B12,0.38621153846153844
HSF1,0.5158846153846153
HSPA14,0.3044423076923077
HSPA5,0.7941153846153847
HSPA9,0.6166730769230769
HSPB9,0.5748461538461538
HSPD1,0.5997307692307694
HYOU1,0.3850576923076924
IARS2,0.463923076923077
IBA57,0.4195
IDH3A,0.41915384615384615
