reporter_slug,control,metric,exact_minus_control
clathrin_vesicles_clta,remove_size_shape,Cell,0.0008583756784596996
early_endosome_eea1,remove_size_shape,Cell,0.001121533662080787
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,remove_size_shape,Cell,0.00042008335391696683
endosome_vps35,remove_size_shape,Cell,0.0002894570430118648
er_cona,remove_size_shape,Cell,0.0014131128374073043
er_golgi_bridge_vapa,remove_size_shape,Cell,0.00031161395212009335
er_golgi_cop-ii_sec23a,remove_size_shape,Cell,0.001267077525456628
er_golgi_cope,remove_size_shape,Cell,-0.0001287524898846426
er_ncln,remove_size_shape,Cell,-0.0017128250872094908
er_sec61b,remove_size_shape,Cell,-0.00034578243891403293
f-actin_phalloidin,remove_size_shape,Cell,0.0009244095948007791
fe2+_ferhonox_live-cell_dye,remove_size_shape,Cell,0.00028152142961801463
late_endosome_rab7a,remove_size_shape,Cell,-9.536718328806426e-05
lipid_droplet_bodipy_live_cell_dye,remove_size_shape,Cell,0.00042052517334612016
lipid_droplet_plin2,remove_size_shape,Cell,-0.0013785926004249438
lysosome_lamp1,remove_size_shape,Cell,-0.000493102520704225
lysosome_lysotracker_live-cell_dye,remove_size_shape,Cell,0.0009086078653731677
microtubules_map4,remove_size_shape,Cell,0.00036596084634465953
microtubules_tubulin,remove_size_shape,Cell,0.0010318054507176821
mitochondria_chromalive_561_excitation,remove_size_shape,Cell,-0.0005783212681609307
mitochondria_tomm20,remove_size_shape,Cell,0.0018595475082595625
mitochondria_tomm70a,remove_size_shape,Cell,-0.00046412224570901994
nuclear_speckles_srrm2,remove_size_shape,Cell,7.071991761531393e-05
nuclei_hoechst,remove_size_shape,Cell,0.001500537494818377
nuclei_nucleolive_live_cell_dye,remove_size_shape,Cell,-0.00011891561249899318
nucleoli_npm1,remove_size_shape,Cell,0.00030722932683091564
nucleolus-dfc_fbl,remove_size_shape,Cell,-0.0004002258181574625
nucleolus-gc_npm3,remove_size_shape,Cell,-0.0008057134846847225
oxidative_stress_cellrox_live-cell_dye,remove_size_shape,Cell,-0.001831043014923761
p21,remove_size_shape,Cell,-0.0011627010504404178
p53,remove_size_shape,Cell,-0.002358986834684995
peroxisome_peroxi_spy650_live_cell_dye,remove_size_shape,Cell,1.2786438067791117e-05
plasma_membrane_atp1b3,remove_size_shape,Cell,-0.0013869081934293481
plasma_membrane_slc3a2,remove_size_shape,Cell,0.000287622710069102
plasma_membrane_wga,remove_size_shape,Cell,0.000635777331060905
prb,remove_size_shape,Cell,-5.7809054851587494e-05
proteasome_psmb7,remove_size_shape,Cell,-0.000961721688508943
ps6,remove_size_shape,Cell,4.3221342687860265e-05
recycling_endosome_tfrc,remove_size_shape,Cell,-0.00020341326793038572
stress_granule_g3bp1,remove_size_shape,Cell,0.0005390254159769459
trans-golgi_vamp3,remove_size_shape,Cell,0.006425563494364406
5xupre,remove_size_shape,KO,-0.0015629523992538585
actin_filament_fastact_spy555_live_cell_dye,remove_size_shape,KO,-0.00023899823427198097
autophagosome_atg101,remove_size_shape,KO,0.0007355101406574249
autophagosome_map1lc3b,remove_size_shape,KO,0.0009144514799117598
b-catenin,remove_size_shape,KO,-6.889738142223933e-07
c-myc,remove_size_shape,KO,0.0048390361666679205
caspase_activity_cellevent-caspase_live-cell_dye,remove_size_shape,KO,0.0021594238157073287
cell_proliferation_marker_mki67,remove_size_shape,KO,-0.001205261051654971
chaperones_hspa1b,remove_size_shape,KO,-0.0007853371401628229
chromalive_488_excitation,remove_size_shape,KO,0.0011489845812320265
chromatin_h2bc21,remove_size_shape,KO,-0.0031192680199939593
clathrin_vesicles_clta,remove_size_shape,KO,0.0003146116932234433
early_endosome_eea1,remove_size_shape,KO,0.00020111004511524921
endocytic_vesicle_ph_phrodo-dextran_live_cell_dye,remove_size_shape,KO,0.0042215680082638984
endosome_vps35,remove_size_shape,KO,0.0015844953556856112
er_cona,remove_size_shape,KO,0.0030230656266212463
er_golgi_bridge_vapa,remove_size_shape,KO,0.0014296916623910416
er_golgi_cop-ii_sec23a,remove_size_shape,KO,0.0005815749367078515
er_golgi_cope,remove_size_shape,KO,-0.0019522686799366973
er_ncln,remove_size_shape,KO,0.00638454159100843
er_sec61b,remove_size_shape,KO,-0.00025232185920065486
f-actin_phalloidin,remove_size_shape,KO,0.0009991370969348878
fe2+_ferhonox_live-cell_dye,remove_size_shape,KO,-6.221334139522305e-05
late_endosome_rab7a,remove_size_shape,KO,0.00046195536851878494
lipid_droplet_bodipy_live_cell_dye,remove_size_shape,KO,-0.0006892455120883767
lipid_droplet_plin2,remove_size_shape,KO,0.0038643363863229974
lysosome_lamp1,remove_size_shape,KO,-0.0025236457586289562
lysosome_lysotracker_live-cell_dye,remove_size_shape,KO,0.0009526327252388223
microtubules_map4,remove_size_shape,KO,-0.0002579594651859196
microtubules_tubulin,remove_size_shape,KO,0.0038893353193998337
mitochondria_chromalive_561_excitation,remove_size_shape,KO,-0.0031622235973676194
mitochondria_tomm20,remove_size_shape,KO,0.0010460094652242624
mitochondria_tomm70a,remove_size_shape,KO,-0.0006280923883120737
nuclear_speckles_srrm2,remove_size_shape,KO,-5.038181940708597e-05
nuclei_hoechst,remove_size_shape,KO,0.0018811752398809611
nuclei_nucleolive_live_cell_dye,remove_size_shape,KO,-3.441274166104957e-05
nucleoli_npm1,remove_size_shape,KO,0.00036430886636174
nucleolus-dfc_fbl,remove_size_shape,KO,-0.0005594174067179436
nucleolus-gc_npm3,remove_size_shape,KO,-0.0007272173961002659
oxidative_stress_cellrox_live-cell_dye,remove_size_shape,KO,-0.0012884277850390147
p21,remove_size_shape,KO,0.0058900594711303045
