reporter_slug,method_id,fold,recoverability_r,n_gene_screen_pairs,n_endpoints,run_state
late_endosome_rab7a,catboost_multirmse,4,0.9165133313628664,444,24,checkpoint_average
late_endosome_rab7a,mlp,4,0.9298399657212468,444,24,checkpoint_average
late_endosome_rab7a,tabm_specialists,4,0.5487679344173457,444,24,checkpoint_average
late_endosome_rab7a,scbutterfly_ops_b,4,0.7936719557880266,444,24,checkpoint_average
late_endosome_rab7a,resmlp_52head,4,0.9266721999349272,444,24,checkpoint_average
late_endosome_rab7a,multitab_pilot,4,0.9176272347876588,444,24,checkpoint_average
late_endosome_rab7a,midas_ops,4,0.780402454565596,444,24,checkpoint_average
late_endosome_rab7a,scpair_ops,4,0.9146746550800904,444,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,ridge,0,0.9078260972673058,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,gbdt,0,0.9269693897846776,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,catboost_multirmse,0,0.9108466036524396,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,mlp,0,0.9292860225979952,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,tabm_specialists,0,0.9241056295855694,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,scbutterfly_ops_b,0,0.894871899999222,1055,24,checkpoint_average
actin_filament_fastact_spy555_live_cell_dye,resmlp_52head,0,0.9206906292233278,1055,24,checkpoint_average
